,port1_nmf,port2_nmf,port3_nmf,port1_svd,port2_svd,port3_svd,n_nmf,n_svd
0,0.005988023952095809,0.0058823529411764705,0.0,0.011976047904191617,0.0058823529411764705,0.0375,5,5
1,0.0,0.0058823529411764705,0.0125,0.0,0.041176470588235294,0.0125,10,10
2,0.0,0.023529411764705882,0.025,0.0,0.029411764705882353,0.025,15,15
3,0.0,0.029411764705882353,0.025,0.0,0.07647058823529412,0.0625,20,20
4,0.0,0.01764705882352941,0.05,0.0,0.11764705882352941,0.2875,25,25
5,0.0,0.08235294117647059,0.2875,0.0,0.11176470588235295,0.4125,30,30
6,0.0,0.09411764705882353,0.225,0.005988023952095809,0.12352941176470589,0.3375,35,35
7,0.0,0.08823529411764706,0.275,0.005988023952095809,0.11176470588235295,0.35,40,40
8,0.0,0.1,0.275,0.005988023952095809,0.11176470588235295,0.4125,45,45
9,0.0,0.13529411764705881,0.325,0.005988023952095809,0.1,0.45,50,50
10,0.005988023952095809,0.11176470588235295,0.375,0.005988023952095809,0.09411764705882353,0.4375,55,55
11,0.0,0.11176470588235295,0.3375,0.005988023952095809,0.09411764705882353,0.4375,60,60
12,0.0,0.13529411764705881,0.4,0.005988023952095809,0.09411764705882353,0.4375,65,65
13,0.005988023952095809,0.12352941176470589,0.3,0.005988023952095809,0.09411764705882353,0.4375,70,70
14,0.0,0.1,0.275,0.005988023952095809,0.09411764705882353,0.4375,75,75
15,0.0,0.12941176470588237,0.25,0.005988023952095809,0.09411764705882353,0.4375,80,80
