,port1_nmf,port2_nmf,port3_nmf,port1_svd,port2_svd,port3_svd,n_nmf,n_svd
0,0.15568862275449102,0.25882352941176473,0.25,0.2155688622754491,0.2823529411764706,0.325,5,5
1,0.1377245508982036,0.3058823529411765,0.4,0.16167664670658682,0.4235294117647059,0.35,10,10
2,0.1437125748502994,0.5117647058823529,0.5125,0.16167664670658682,0.5352941176470588,0.675,15,15
3,0.19760479041916168,0.5,0.6,0.17964071856287425,0.6058823529411764,0.85,20,20
4,0.16167664670658682,0.5823529411764706,0.8125,0.17365269461077845,0.8235294117647058,0.95,25,25
5,0.1317365269461078,0.9176470588235294,0.9125,0.19161676646706588,0.8294117647058824,0.95,30,30
6,0.17964071856287425,0.9,0.9375,0.16766467065868262,0.8294117647058824,0.95,35,35
7,0.1317365269461078,0.8764705882352941,0.95,0.16766467065868262,0.8352941176470589,0.95,40,40
8,0.11377245508982035,0.8764705882352941,0.9625,0.1497005988023952,0.8352941176470589,0.95,45,45
9,0.12574850299401197,0.9,0.9375,0.1497005988023952,0.8352941176470589,0.95,50,50
10,0.10778443113772455,0.8823529411764706,0.9375,0.1497005988023952,0.8294117647058824,0.95,55,55
11,0.12574850299401197,0.8764705882352941,0.95,0.1497005988023952,0.8294117647058824,0.95,60,60
12,0.1377245508982036,0.9117647058823529,0.9375,0.1497005988023952,0.8352941176470589,0.95,65,65
13,0.11976047904191617,0.888235294117647,0.925,0.1497005988023952,0.8352941176470589,0.95,70,70
14,0.10778443113772455,0.888235294117647,0.925,0.1497005988023952,0.8352941176470589,0.95,75,75
15,0.10778443113772455,0.9058823529411765,0.8875,0.1497005988023952,0.8352941176470589,0.95,80,80
