,port1_nmf,port2_nmf,port3_nmf,port1_svd,port2_svd,port3_svd,n_nmf,n_svd
0,0.011976047904191617,0.029411764705882353,0.0,0.029940119760479042,0.023529411764705882,0.075,5,5
1,0.005988023952095809,0.058823529411764705,0.025,0.0,0.058823529411764705,0.0625,10,10
2,0.005988023952095809,0.041176470588235294,0.2,0.0,0.12941176470588237,0.1125,15,15
3,0.005988023952095809,0.052941176470588235,0.05,0.011976047904191617,0.17058823529411765,0.3375,20,20
4,0.011976047904191617,0.11764705882352941,0.1,0.017964071856287425,0.29411764705882354,0.575,25,25
5,0.005988023952095809,0.3,0.5,0.011976047904191617,0.28823529411764703,0.6875,30,30
6,0.011976047904191617,0.29411764705882354,0.475,0.011976047904191617,0.3058823529411765,0.7,35,35
7,0.017964071856287425,0.27058823529411763,0.5,0.011976047904191617,0.3,0.675,40,40
8,0.017964071856287425,0.29411764705882354,0.4875,0.023952095808383235,0.3,0.6625,45,45
9,0.005988023952095809,0.32941176470588235,0.45,0.023952095808383235,0.3058823529411765,0.6625,50,50
10,0.005988023952095809,0.29411764705882354,0.45,0.023952095808383235,0.3352941176470588,0.7,55,55
11,0.011976047904191617,0.29411764705882354,0.4125,0.023952095808383235,0.32941176470588235,0.725,60,60
12,0.0,0.4235294117647059,0.675,0.023952095808383235,0.3352941176470588,0.725,65,65
13,0.011976047904191617,0.3411764705882353,0.55,0.023952095808383235,0.3352941176470588,0.725,70,70
14,0.005988023952095809,0.34705882352941175,0.55,0.023952095808383235,0.3411764705882353,0.725,75,75
15,0.0,0.37058823529411766,0.575,0.023952095808383235,0.3411764705882353,0.725,80,80
